lat,lon,year,scenario,chill_days
30.886,-104.202,2020,ssp126,76
30.886,-102.979,2020,ssp126,75
30.886,-101.755,2020,ssp126,74
30.886,-100.532,2020,ssp126,72
30.886,-99.308,2020,ssp126,70
30.886,-98.085,2020,ssp126,67
30.886,-96.862,2020,ssp126,63
30.886,-95.638,2020,ssp126,57
30.886,-94.415,2020,ssp126,52
30.886,-93.192,2020,ssp126,46
30.886,-91.968,2020,ssp126,43
30.886,-90.745,2020,ssp126,44
30.886,-89.521,2020,ssp126,43
30.886,-88.298,2020,ssp126,37
30.886,-87.074,2020,ssp126,35
30.886,-85.851,2020,ssp126,41
30.886,-84.628,2020,ssp126,44
30.886,-83.404,2020,ssp126,41
30.886,-82.181,2020,ssp126,34
30.886,-80.957,2020,ssp126,16
30.886,-79.734,2020,ssp126,1
30.886,-78.511,2020,ssp126,1
30.886,-77.287,2020,ssp126,0
30.886,-76.064,2020,ssp126,0
30.886,-74.84,2020,ssp126,0
30.886,-73.617,2020,ssp126,0
30.886,-72.394,2020,ssp126,0
30.886,-71.17,2020,ssp126,0
30.886,-69.947,2020,ssp126,0
30.886,-68.723,2020,ssp126,0
30.886,-67.5,2020,ssp126,0
31.505,-125.0,2020,ssp126,0
31.505,-123.777,2020,ssp126,0
31.505,-122.553,2020,ssp126,0
31.505,-121.33,2020,ssp126,0
31.505,-120.106,2020,ssp126,0
31.505,-118.883,2020,ssp126,0
31.505,-117.66,2020,ssp126,0
31.505,-116.436,2020,ssp126,26
31.505,-115.213,2020,ssp126,56
31.505,-113.989,2020,ssp126,63
31.505,-112.766,2020,ssp126,64
31.505,-111.543,2020,ssp126,77
31.505,-110.319,2020,ssp126,92
31.505,-109.096,2020,ssp126,92
31.505,-107.872,2020,ssp126,87
31.505,-106.649,2020,ssp126,82
31.505,-105.426,2020,ssp126,77
31.505,-104.202,2020,ssp126,75
31.505,-102.979,2020,ssp126,74
31.505,-101.755,2020,ssp126,72
31.505,-100.532,2020,ssp126,71
31.505,-99.308,2020,ssp126,68
31.505,-98.085,2020,ssp126,64
31.505,-96.862,2020,ssp126,62
31.505,-95.638,2020,ssp126,62
31.505,-94.415,2020,ssp126,59
31.505,-93.192,2020,ssp126,54
31.505,-91.968,2020,ssp126,52
31.505,-90.745,2020,ssp126,55
31.505,-89.521,2020,ssp126,56
31.505,-88.298,2020,ssp126,53
31.505,-87.074,2020,ssp126,52
31.505,-85.851,2020,ssp126,57
31.505,-84.628,2020,ssp126,59
31.505,-83.404,2020,ssp126,54
31.505,-82.181,2020,ssp126,44
31.505,-80.957,2020,ssp126,20
31.505,-79.734,2020,ssp126,2
31.505,-78.511,2020,ssp126,1
31.505,-77.287,2020,ssp126,1
31.505,-76.064,2020,ssp126,1
31.505,-74.84,2020,ssp126,1
31.505,-73.617,2020,ssp126,0
31.505,-72.394,2020,ssp126,0
31.505,-71.17,2020,ssp126,0
31.505,-69.947,2020,ssp126,0
31.505,-68.723,2020,ssp126,0
31.505,-67.5,2020,ssp126,0
32.123,-125.0,2020,ssp126,0
32.123,-123.777,2020,ssp126,0
32.123,-122.553,2020,ssp126,0
32.123,-121.33,2020,ssp126,0
32.123,-120.106,2020,ssp126,0
32.123,-118.883,2020,ssp126,0
32.123,-117.66,2020,ssp126,1
32.123,-116.436,2020,ssp126,29
32.123,-115.213,2020,ssp126,60
32.123,-113.989,2020,ssp126,69
32.123,-112.766,2020,ssp126,73
32.123,-111.543,2020,ssp126,83
32.123,-110.319,2020,ssp126,95
32.123,-109.096,2020,ssp126,94
32.123,-107.872,2020,ssp126,89
32.123,-106.649,2020,ssp126,83
32.123,-105.426,2020,ssp126,76
32.123,-104.202,2020,ssp126,73
32.123,-102.979,2020,ssp126,72
32.123,-101.755,2020,ssp126,71
32.123,-100.532,2020,ssp126,71
32.123,-99.308,2020,ssp126,68
32.123,-98.085,2020,ssp126,64
32.123,-96.862,2020,ssp126,64
32.123,-95.638,2020,ssp126,66
32.123,-94.415,2020,ssp126,65
32.123,-93.192,2020,ssp126,62
32.123,-91.968,2020,ssp126,61
32.123,-90.745,2020,ssp126,64
32.123,-89.521,2020,ssp126,66
32.123,-88.298,2020,ssp126,64
32.123,-87.074,2020,ssp126,65
32.123,-85.851,2020,ssp126,69
32.123,-84.628,2020,ssp126,70
32.123,-83.404,2020,ssp126,65
32.123,-82.181,2020,ssp126,55
32.123,-80.957,2020,ssp126,31
32.123,-79.734,2020,ssp126,11
32.123,-78.511,2020,ssp126,6
32.123,-77.287,2020,ssp126,2
32.123,-76.064,2020,ssp126,1
32.123,-74.84,2020,ssp126,1
32.123,-73.617,2020,ssp126,0
32.123,-72.394,2020,ssp126,0
32.123,-71.17,2020,ssp126,0
32.123,-69.947,2020,ssp126,0
32.123,-68.723,2020,ssp126,0
32.123,-67.5,2020,ssp126,0
32.741,-125.0,2020,ssp126,0
32.741,-123.777,2020,ssp126,0
32.741,-122.553,2020,ssp126,0
32.741,-121.33,2020,ssp126,0
32.741,-120.106,2020,ssp126,0
32.741,-118.883,2020,ssp126,1
32.741,-117.66,2020,ssp126,2
32.741,-116.436,2020,ssp126,30
32.741,-115.213,2020,ssp126,62
32.741,-113.989,2020,ssp126,74
32.741,-112.766,2020,ssp126,81
32.741,-111.543,2020,ssp126,89
32.741,-110.319,2020,ssp126,98
32.741,-109.096,2020,ssp126,97
32.741,-107.872,2020,ssp126,92
32.741,-106.649,2020,ssp126,84
32.741,-105.426,2020,ssp126,74
32.741,-104.202,2020,ssp126,70
32.741,-102.979,2020,ssp126,70
32.741,-101.755,2020,ssp126,70
32.741,-100.532,2020,ssp126,71
32.741,-99.308,2020,ssp126,69
32.741,-98.085,2020,ssp126,66
32.741,-96.862,2020,ssp126,67
32.741,-95.638,2020,ssp126,70
32.741,-94.415,2020,ssp126,71
32.741,-93.192,2020,ssp126,70
32.741,-91.968,2020,ssp126,70
32.741,-90.745,2020,ssp126,73
32.741,-89.521,2020,ssp126,74
32.741,-88.298,2020,ssp126,74
32.741,-87.074,2020,ssp126,75
32.741,-85.851,2020,ssp126,78
32.741,-84.628,2020,ssp126,79
32.741,-83.404,2020,ssp126,75
32.741,-82.181,2020,ssp126,66
32.741,-80.957,2020,ssp126,44
32.741,-79.734,2020,ssp126,24
32.741,-78.511,2020,ssp126,12
32.741,-77.287,2020,ssp126,3
32.741,-76.064,2020,ssp126,2
32.741,-74.84,2020,ssp126,1
32.741,-73.617,2020,ssp126,0
32.741,-72.394,2020,ssp126,0
32.741,-71.17,2020,ssp126,0
32.741,-69.947,2020,ssp126,0
32.741,-68.723,2020,ssp126,0
32.741,-67.5,2020,ssp126,0
33.36,-125.0,2020,ssp126,0
33.36,-123.777,2020,ssp126,0
33.36,-122.553,2020,ssp126,0
33.36,-121.33,2020,ssp126,0
33.36,-120.106,2020,ssp126,1
33.36,-118.883,2020,ssp126,15
33.36,-117.66,2020,ssp126,31
33.36,-116.436,2020,ssp126,51
33.36,-115.213,2020,ssp126,72
33.36,-113.989,2020,ssp126,81
33.36,-112.766,2020,ssp126,88
